Age,Gender,Skill_Level,Play_Time,Location,Win_Rate,Total_Matches_Played,Favorite_Court_Type,Average_Match_Duration,Coach_Affiliation,Rating_Score
28,Male,Advanced,Afternoon,United States,88,13,Any,97,No,1681
28,Male,Professional,Afternoon,Spain,38,276,Any,116,No,1708
54,Female,Intermediate,Evening,Belgium,59,428,Outdoor,82,Yes,1312
22,Male,Intermediate,Morning,United Arab Emirates,62,254,Indoor,116,Yes,2344
30,Female,Professional,Morning,Spain,49,12,Outdoor,77,Yes,2159
44,Male,Beginner,Evening,Mexico,82,234,Outdoor,86,Yes,1249
25,Male,Intermediate,Morning,Sweden,46,170,Outdoor,36,No,1131
20,Male,Beginner,Afternoon,Spain,69,407,Outdoor,47,Yes,2434
46,Female,Professional,Evening,Germany,80,39,Outdoor,107,No,1444
32,Female,Intermediate,Evening,Brazil,83,166,Any,76,Yes,1360
26,Male,Intermediate,Evening,France,53,357,Outdoor,70,Yes,1975
51,Male,Intermediate,Afternoon,Saudi Arabia,33,140,Indoor,86,No,1178
47,Female,Intermediate,Afternoon,United States,84,261,Outdoor,43,No,1798
47,Male,Intermediate,Evening,Denmark,57,200,Outdoor,63,No,1951
50,Female,Professional,Evening,Chile,46,478,Any,95,Yes,1776
51,Female,Beginner,Afternoon,Finland,52,329,Indoor,81,Yes,1672
52,Male,Advanced,Afternoon,Chile,83,474,Any,112,Yes,2368
23,Male,Beginner,Morning,United Arab Emirates,57,305,Outdoor,36,Yes,1491
30,Male,Intermediate,Evening,United Kingdom,85,475,Indoor,44,No,2214
50,Female,Advanced,Morning,Lebanon,37,394,Outdoor,119,Yes,1524
18,Male,Professional,Afternoon,Germany,45,326,Outdoor,37,No,1506
37,Male,Advanced,Evening,Chile,40,495,Outdoor,46,No,1387
51,Male,Intermediate,Evening,Sweden,61,442,Indoor,120,No,2196
35,Female,Professional,Evening,Brazil,32,426,Any,117,No,1946
35,Male,Advanced,Morning,Spain,47,274,Outdoor,110,Yes,2315
44,Male,Beginner,Morning,Finland,63,176,Indoor,112,Yes,2092
30,Male,Professional,Afternoon,Portugal,79,140,Outdoor,47,Yes,2205
53,Female,Professional,Afternoon,Italy,52,283,Outdoor,90,Yes,1320
32,Female,Beginner,Afternoon,Chile,77,281,Any,93,Yes,1007
51,Female,Professional,Morning,United Arab Emirates,60,224,Outdoor,55,No,1637
25,Female,Intermediate,Afternoon,Qatar,46,351,Outdoor,89,No,1429
25,Male,Beginner,Morning,Portugal,55,447,Any,53,Yes,2480
55,Male,Intermediate,Morning,Mexico,79,337,Any,44,Yes,2080
43,Female,Professional,Evening,Lebanon,82,145,Outdoor,111,No,1934
46,Male,Advanced,Evening,United Arab Emirates,85,497,Outdoor,74,No,1694
48,Male,Beginner,Afternoon,Brazil,79,207,Indoor,82,No,1247
23,Male,Intermediate,Morning,Brazil,85,473,Outdoor,66,Yes,2136
52,Female,Intermediate,Evening,Denmark,45,420,Outdoor,34,Yes,1297
48,Male,Professional,Evening,Germany,89,278,Any,60,Yes,2341
37,Female,Advanced,Morning,Denmark,57,132,Any,97,Yes,1346
27,Male,Beginner,Morning,Finland,71,389,Indoor,69,Yes,2490
53,Female,Advanced,Morning,Spain,43,400,Any,87,No,1018
45,Male,Beginner,Afternoon,Saudi Arabia,80,476,Any,95,No,1339
37,Male,Beginner,Afternoon,United Kingdom,60,50,Outdoor,85,Yes,1176
38,Female,Beginner,Evening,United States,33,463,Outdoor,92,Yes,1934
55,Female,Beginner,Afternoon,Argentina,83,256,Indoor,34,No,1290
45,Male,Intermediate,Evening,Chile,68,54,Indoor,38,No,1411
29,Male,Beginner,Evening,France,39,256,Indoor,32,No,2119
22,Male,Intermediate,Evening,Chile,67,149,Indoor,67,No,1212
52,Male,Intermediate,Morning,Denmark,72,384,Indoor,67,Yes,2131
48,Male,Professional,Afternoon,Portugal,76,176,Indoor,74,Yes,1596
25,Female,Intermediate,Evening,Italy,89,177,Outdoor,58,No,1119
31,Male,Professional,Morning,Netherlands,34,457,Outdoor,81,No,1916
40,Female,Advanced,Evening,Finland,77,71,Outdoor,88,No,1482
38,Female,Beginner,Evening,Lebanon,60,407,Outdoor,30,Yes,1246
54,Male,Professional,Morning,France,90,336,Outdoor,87,No,2204
24,Male,Advanced,Morning,Finland,81,12,Indoor,37,No,1765
18,Female,Professional,Morning,Qatar,74,226,Any,100,Yes,1903
50,Female,Intermediate,Afternoon,United States,44,185,Indoor,107,Yes,1478
20,Female,Professional,Morning,Germany,83,421,Outdoor,91,Yes,1974
46,Male,Beginner,Afternoon,United States,68,380,Any,90,Yes,1441
31,Male,Intermediate,Morning,Brazil,86,277,Indoor,83,No,1415
47,Female,Beginner,Morning,Germany,85,252,Indoor,105,Yes,2235
22,Female,Professional,Afternoon,Spain,63,248,Indoor,114,No,1941
43,Female,Beginner,Morning,France,34,485,Outdoor,39,Yes,1528
40,Male,Advanced,Afternoon,Mexico,53,356,Indoor,98,No,1676
18,Female,Advanced,Afternoon,Denmark,30,202,Any,39,Yes,1284
39,Female,Advanced,Morning,Spain,34,350,Any,89,No,1030
37,Male,Beginner,Evening,Spain,39,333,Indoor,112,Yes,1340
51,Male,Professional,Afternoon,Belgium,64,305,Indoor,40,No,1625
53,Female,Intermediate,Morning,Saudi Arabia,34,408,Any,77,Yes,2363
34,Male,Beginner,Morning,United States,87,85,Any,34,Yes,1289
28,Female,Beginner,Evening,Germany,48,389,Any,55,Yes,1676
33,Female,Beginner,Afternoon,Argentina,44,126,Outdoor,96,No,1577
25,Male,Intermediate,Morning,Saudi Arabia,51,26,Any,30,Yes,2304
51,Male,Intermediate,Morning,France,85,320,Indoor,86,Yes,1412
53,Male,Professional,Evening,Belgium,70,352,Indoor,100,Yes,1623
23,Male,Intermediate,Afternoon,Netherlands,82,361,Outdoor,35,Yes,1850
48,Female,Professional,Evening,Mexico,51,222,Any,91,No,1033
21,Male,Professional,Morning,Finland,52,349,Indoor,75,No,1578
29,Female,Beginner,Evening,Qatar,34,361,Indoor,78,Yes,1615
51,Male,Advanced,Evening,United Arab Emirates,39,259,Any,96,No,1869
19,Male,Intermediate,Morning,Germany,36,135,Any,79,Yes,1992
38,Female,Advanced,Morning,Chile,77,226,Indoor,95,No,1146
20,Female,Beginner,Morning,Belgium,40,328,Indoor,76,Yes,2241
24,Male,Professional,Morning,Lebanon,86,31,Outdoor,118,No,1512
19,Female,Intermediate,Afternoon,Denmark,86,490,Any,89,Yes,1854
23,Male,Intermediate,Evening,Argentina,83,145,Outdoor,116,No,1034
23,Male,Intermediate,Afternoon,Argentina,33,388,Any,51,No,2305
45,Male,Intermediate,Afternoon,Portugal,55,103,Indoor,120,No,1581
42,Male,Professional,Morning,United Arab Emirates,67,85,Any,85,No,1563
24,Female,Advanced,Evening,Portugal,74,293,Indoor,33,Yes,2100
46,Female,Beginner,Evening,Saudi Arabia,47,217,Any,66,No,1988
53,Female,Professional,Morning,United Kingdom,58,104,Indoor,106,Yes,2134
47,Female,Professional,Afternoon,Denmark,75,103,Outdoor,57,No,1735
18,Female,Beginner,Afternoon,Qatar,64,399,Any,34,No,2069
53,Male,Advanced,Afternoon,United Kingdom,30,32,Any,111,Yes,1751
38,Male,Advanced,Morning,Brazil,86,13,Outdoor,65,Yes,2098
45,Female,Advanced,Evening,United Kingdom,41,103,Indoor,116,Yes,1030
55,Female,Professional,Evening,Netherlands,77,369,Any,56,Yes,1497
29,Female,Professional,Evening,France,84,469,Any,83,No,1981
52,Female,Intermediate,Morning,Qatar,68,371,Indoor,85,Yes,2182
48,Male,Advanced,Evening,Argentina,36,47,Any,83,Yes,1916
21,Male,Beginner,Evening,Chile,54,361,Indoor,90,No,1752
48,Female,Intermediate,Afternoon,Saudi Arabia,90,262,Outdoor,82,Yes,1914
47,Female,Professional,Evening,Saudi Arabia,75,231,Indoor,43,No,2339
36,Male,Professional,Morning,United Kingdom,60,86,Outdoor,58,Yes,1515
46,Male,Professional,Afternoon,Argentina,37,111,Any,82,No,2079
26,Male,Intermediate,Morning,Qatar,52,214,Any,80,Yes,2195
26,Female,Beginner,Evening,Chile,72,400,Outdoor,107,Yes,1262
41,Female,Advanced,Evening,Spain,58,470,Indoor,83,No,2014
23,Female,Intermediate,Evening,United States,58,264,Indoor,95,Yes,1313
30,Male,Beginner,Morning,Finland,35,10,Outdoor,96,Yes,1564
21,Male,Professional,Morning,Argentina,65,316,Indoor,119,Yes,2492
28,Female,Advanced,Afternoon,Saudi Arabia,69,465,Any,97,No,2362
35,Female,Professional,Afternoon,Italy,67,144,Indoor,71,No,1944
37,Male,Professional,Morning,Saudi Arabia,45,279,Any,88,No,1077
28,Female,Intermediate,Afternoon,Italy,62,323,Any,30,Yes,1819
45,Male,Beginner,Evening,Finland,30,194,Outdoor,88,No,2312
37,Male,Professional,Evening,Qatar,49,147,Indoor,33,No,1535
52,Male,Professional,Morning,France,69,218,Outdoor,119,No,2035
44,Male,Professional,Morning,Netherlands,46,177,Outdoor,54,No,1540
47,Male,Beginner,Evening,Denmark,62,440,Any,84,Yes,1485
29,Male,Advanced,Morning,Chile,36,32,Any,114,Yes,1429
43,Female,Advanced,Morning,United Kingdom,86,131,Indoor,86,No,1573
39,Male,Professional,Evening,Qatar,43,136,Indoor,56,Yes,1710
43,Female,Professional,Morning,Argentina,87,401,Outdoor,75,No,1136
28,Female,Intermediate,Afternoon,Mexico,30,47,Outdoor,84,Yes,1110
30,Female,Advanced,Evening,Qatar,81,112,Outdoor,73,Yes,1581
31,Male,Intermediate,Morning,Brazil,54,63,Any,93,Yes,1934
24,Female,Beginner,Evening,Germany,78,96,Outdoor,106,Yes,2018
30,Female,Intermediate,Afternoon,Netherlands,78,388,Any,71,No,2005
32,Female,Beginner,Afternoon,Chile,74,236,Indoor,35,No,1948
25,Female,Intermediate,Afternoon,France,60,224,Indoor,66,No,1182
53,Female,Advanced,Morning,United States,80,179,Any,50,Yes,1100
26,Female,Intermediate,Afternoon,Portugal,33,290,Any,69,No,1333
19,Male,Beginner,Evening,Qatar,58,453,Any,65,Yes,1646
48,Male,Intermediate,Morning,France,62,300,Indoor,76,No,2286
18,Female,Advanced,Evening,Belgium,57,91,Any,42,No,2090
24,Female,Intermediate,Afternoon,Germany,60,322,Outdoor,104,No,2214
53,Female,Professional,Afternoon,Argentina,83,26,Indoor,96,Yes,2100
34,Male,Intermediate,Afternoon,Belgium,41,245,Outdoor,111,Yes,2373
27,Female,Beginner,Afternoon,United Kingdom,42,223,Indoor,74,No,1840
18,Female,Beginner,Morning,Belgium,86,306,Any,98,No,1339
44,Male,Beginner,Morning,Argentina,44,99,Any,67,Yes,2156
45,Female,Advanced,Afternoon,Italy,31,316,Any,107,Yes,1673
46,Male,Advanced,Afternoon,United Kingdom,60,436,Indoor,94,Yes,2122
49,Female,Advanced,Morning,Denmark,67,188,Any,87,No,1416
36,Male,Professional,Evening,United Kingdom,45,453,Any,66,Yes,1586
42,Male,Intermediate,Evening,Argentina,39,486,Outdoor,79,No,1110
22,Female,Beginner,Evening,Lebanon,85,355,Outdoor,49,No,1072
43,Male,Professional,Evening,United Arab Emirates,31,11,Indoor,69,Yes,1323
24,Male,Advanced,Evening,Chile,37,203,Outdoor,59,No,2110
50,Female,Beginner,Morning,Chile,76,336,Any,108,No,1625
50,Female,Beginner,Afternoon,United Kingdom,90,302,Indoor,33,No,1665
38,Female,Intermediate,Afternoon,Qatar,79,197,Outdoor,66,No,2002
50,Male,Intermediate,Afternoon,Saudi Arabia,75,296,Outdoor,93,No,2060
34,Male,Advanced,Morning,Argentina,34,215,Outdoor,79,Yes,1391
41,Male,Professional,Afternoon,Saudi Arabia,57,30,Any,34,Yes,1588
42,Male,Professional,Evening,United States,87,324,Indoor,97,No,1444
41,Female,Professional,Afternoon,Italy,64,108,Outdoor,48,No,2172
45,Male,Professional,Evening,Spain,82,109,Outdoor,65,No,1853
37,Female,Advanced,Morning,United States,83,330,Indoor,104,Yes,1157
42,Male,Advanced,Afternoon,Netherlands,34,156,Indoor,116,No,1784
39,Female,Beginner,Morning,Lebanon,73,114,Outdoor,112,No,2284
32,Male,Advanced,Evening,Denmark,83,391,Any,87,No,1808
31,Male,Beginner,Afternoon,United Kingdom,64,449,Indoor,94,Yes,1217
45,Female,Intermediate,Afternoon,United States,79,161,Indoor,74,No,2249
35,Male,Intermediate,Morning,Spain,90,160,Any,53,Yes,2144
26,Female,Intermediate,Evening,Finland,76,363,Any,113,Yes,2356
43,Male,Professional,Afternoon,Denmark,69,84,Indoor,84,No,1911
36,Female,Professional,Morning,United Arab Emirates,30,132,Any,53,Yes,1084
41,Female,Professional,Afternoon,Mexico,88,132,Any,90,No,1808
22,Female,Intermediate,Evening,Chile,68,121,Outdoor,90,Yes,1317
47,Female,Intermediate,Evening,Brazil,45,126,Any,54,No,2437
22,Female,Professional,Afternoon,Denmark,54,17,Any,36,No,1608
21,Male,Intermediate,Morning,Netherlands,71,478,Indoor,69,Yes,1834
47,Male,Professional,Evening,Lebanon,63,217,Outdoor,50,Yes,1768
23,Female,Professional,Afternoon,France,47,210,Indoor,85,Yes,2441
31,Female,Professional,Evening,Chile,86,44,Indoor,87,No,1566
32,Male,Intermediate,Morning,Germany,30,424,Indoor,51,Yes,2025
45,Female,Beginner,Morning,Denmark,35,350,Outdoor,92,No,1596
37,Male,Professional,Afternoon,France,42,189,Any,31,No,2116
52,Male,Professional,Evening,Lebanon,78,384,Outdoor,85,Yes,2432
31,Female,Intermediate,Evening,Qatar,77,220,Outdoor,63,No,2312
22,Female,Professional,Morning,Brazil,57,164,Indoor,60,No,1106
28,Male,Beginner,Evening,Qatar,75,235,Indoor,94,No,1692
41,Male,Beginner,Evening,Germany,58,417,Any,109,Yes,1076
55,Male,Intermediate,Evening,Germany,75,469,Indoor,98,No,1607
43,Female,Intermediate,Evening,Germany,60,381,Any,114,No,2049
39,Female,Professional,Evening,Chile,65,446,Outdoor,35,No,1338
46,Female,Intermediate,Morning,Italy,53,157,Any,89,Yes,1121
31,Male,Advanced,Afternoon,Brazil,66,384,Indoor,36,No,2379
52,Female,Intermediate,Afternoon,Netherlands,64,369,Indoor,86,No,1726
21,Female,Intermediate,Morning,Italy,70,221,Indoor,70,Yes,2376
28,Female,Professional,Morning,Spain,56,65,Outdoor,83,No,1473
31,Female,Beginner,Evening,United Arab Emirates,76,440,Indoor,92,Yes,2468
52,Female,Advanced,Afternoon,Finland,43,355,Outdoor,58,Yes,2481
52,Male,Professional,Afternoon,Germany,89,475,Any,81,No,1790
49,Male,Professional,Evening,Portugal,55,131,Outdoor,100,Yes,1834
25,Female,Intermediate,Afternoon,Germany,35,488,Indoor,62,No,1100
32,Male,Intermediate,Evening,Mexico,90,315,Indoor,51,Yes,1588
30,Male,Advanced,Morning,Chile,77,345,Any,113,No,2381
49,Male,Professional,Evening,Denmark,79,50,Outdoor,34,Yes,1661
20,Male,Intermediate,Morning,Netherlands,64,112,Indoor,73,No,2220
27,Female,Intermediate,Morning,Portugal,56,36,Any,41,No,1400
44,Male,Advanced,Evening,Germany,45,416,Outdoor,54,Yes,2019
44,Male,Intermediate,Morning,France,61,250,Outdoor,76,Yes,2242
36,Male,Beginner,Afternoon,Chile,54,469,Any,77,Yes,2015
33,Female,Intermediate,Morning,Belgium,56,220,Any,41,Yes,1536
46,Male,Advanced,Afternoon,United Arab Emirates,70,418,Any,45,No,1694
24,Male,Intermediate,Morning,Netherlands,74,215,Any,117,No,1968
33,Female,Beginner,Morning,Belgium,49,56,Any,102,No,2300
26,Male,Advanced,Evening,Netherlands,31,341,Indoor,68,Yes,2184
37,Female,Advanced,Evening,United Kingdom,66,377,Any,104,Yes,1207
28,Female,Intermediate,Evening,United States,63,248,Indoor,68,Yes,1801
34,Male,Beginner,Evening,Chile,66,170,Any,117,No,2480
22,Male,Beginner,Morning,Italy,38,401,Indoor,50,Yes,1314
51,Male,Intermediate,Afternoon,Brazil,60,210,Any,31,Yes,2401
47,Male,Beginner,Afternoon,Finland,54,260,Any,120,No,1248
47,Female,Beginner,Afternoon,United Kingdom,52,359,Indoor,104,Yes,1285
32,Male,Advanced,Evening,Portugal,34,430,Outdoor,51,No,1089
22,Male,Beginner,Morning,Lebanon,33,240,Indoor,46,No,1402
19,Female,Beginner,Evening,Portugal,33,136,Any,113,Yes,1590
55,Female,Beginner,Afternoon,Netherlands,74,12,Any,32,Yes,1083
26,Male,Advanced,Evening,France,87,26,Indoor,52,No,2386
35,Male,Advanced,Evening,Belgium,58,419,Outdoor,106,No,2156
53,Female,Professional,Afternoon,Sweden,64,277,Outdoor,74,Yes,2146
19,Female,Advanced,Evening,Netherlands,64,236,Outdoor,103,No,1910
18,Male,Advanced,Evening,Denmark,73,97,Any,80,Yes,1541
27,Male,Advanced,Evening,Lebanon,86,134,Any,35,Yes,1185
43,Female,Beginner,Morning,Brazil,87,162,Indoor,65,Yes,1803
24,Female,Advanced,Evening,Denmark,65,394,Indoor,66,Yes,2219
41,Female,Beginner,Afternoon,Italy,42,354,Indoor,108,Yes,1843
55,Female,Professional,Evening,Argentina,55,97,Indoor,114,Yes,1585
22,Male,Intermediate,Morning,Sweden,55,128,Any,51,No,1077
41,Female,Advanced,Evening,Portugal,55,136,Any,42,No,2266
19,Male,Intermediate,Evening,Denmark,33,340,Indoor,103,No,2250
35,Male,Advanced,Afternoon,Argentina,72,170,Indoor,116,No,1224
30,Male,Professional,Morning,Belgium,43,233,Indoor,35,No,2166
53,Male,Advanced,Afternoon,Belgium,90,426,Indoor,52,No,1250
21,Female,Advanced,Evening,United States,52,344,Outdoor,54,No,2402
18,Female,Beginner,Afternoon,Lebanon,89,17,Any,72,Yes,2099
20,Female,Advanced,Morning,United States,57,223,Indoor,114,No,1603
52,Female,Intermediate,Evening,Sweden,84,218,Indoor,118,No,1258
30,Female,Advanced,Evening,Chile,38,85,Outdoor,71,No,1406
18,Male,Advanced,Afternoon,Argentina,78,230,Any,104,Yes,2208
32,Female,Intermediate,Afternoon,Germany,32,458,Indoor,34,Yes,1804
34,Female,Professional,Evening,Denmark,31,62,Indoor,43,Yes,1490
25,Female,Advanced,Afternoon,Mexico,59,197,Indoor,65,No,1334
26,Male,Professional,Afternoon,Finland,46,342,Outdoor,107,Yes,1069
54,Male,Beginner,Afternoon,Chile,85,297,Indoor,79,No,1843
20,Male,Professional,Afternoon,Chile,51,102,Any,81,Yes,1559
29,Female,Advanced,Afternoon,Netherlands,58,335,Outdoor,46,Yes,1139
52,Male,Professional,Afternoon,Chile,60,368,Outdoor,117,No,1057
55,Male,Beginner,Evening,United Arab Emirates,69,379,Indoor,64,No,1695
28,Male,Professional,Afternoon,France,82,63,Any,39,Yes,2020
38,Female,Advanced,Afternoon,United Arab Emirates,41,374,Indoor,60,No,1308
32,Male,Advanced,Afternoon,Mexico,90,412,Any,110,Yes,1010
46,Male,Professional,Afternoon,Italy,74,136,Any,109,Yes,1857
18,Female,Professional,Morning,Qatar,60,30,Indoor,110,Yes,1423
30,Female,Professional,Evening,Brazil,56,62,Indoor,84,Yes,1452
45,Male,Professional,Morning,Saudi Arabia,53,135,Indoor,113,Yes,2259
28,Male,Advanced,Morning,Denmark,40,160,Indoor,50,No,1630
36,Female,Beginner,Afternoon,United States,82,337,Indoor,56,No,1812
38,Male,Professional,Morning,Chile,37,438,Outdoor,48,No,1526
19,Male,Intermediate,Evening,Spain,80,121,Indoor,52,No,2066
42,Female,Professional,Afternoon,Lebanon,85,145,Any,118,Yes,1842
42,Female,Beginner,Afternoon,Qatar,30,235,Outdoor,50,No,1487
32,Male,Intermediate,Morning,Qatar,34,237,Indoor,117,No,1001
25,Female,Professional,Afternoon,United Kingdom,60,497,Outdoor,52,No,2366
28,Male,Intermediate,Evening,Sweden,82,109,Indoor,98,Yes,2400
40,Male,Advanced,Morning,Belgium,78,473,Any,84,No,1646
49,Female,Advanced,Evening,United Arab Emirates,76,283,Outdoor,71,No,2282
55,Male,Professional,Evening,Chile,55,326,Any,111,No,2499
30,Male,Professional,Evening,United Kingdom,83,427,Indoor,101,No,1550
42,Male,Beginner,Evening,Denmark,44,53,Outdoor,87,No,1639
21,Male,Intermediate,Evening,Spain,37,284,Any,103,No,1973
20,Male,Advanced,Evening,Portugal,74,288,Outdoor,48,No,1098
37,Male,Intermediate,Afternoon,Germany,87,223,Any,62,Yes,1141
22,Male,Advanced,Morning,Spain,63,324,Indoor,103,Yes,2084
38,Female,Intermediate,Morning,Portugal,34,141,Outdoor,96,Yes,2160
22,Female,Beginner,Evening,Lebanon,35,113,Any,36,No,1651
19,Male,Intermediate,Morning,United Kingdom,70,81,Indoor,73,Yes,2192
21,Male,Advanced,Evening,Finland,40,158,Any,36,No,2038
21,Male,Advanced,Evening,Qatar,76,212,Outdoor,80,Yes,2291
46,Male,Intermediate,Evening,Sweden,42,431,Outdoor,57,No,1435
55,Male,Intermediate,Afternoon,Argentina,74,325,Outdoor,62,Yes,2207
20,Female,Professional,Morning,Argentina,47,359,Indoor,56,Yes,2428
35,Male,Beginner,Evening,Belgium,73,183,Outdoor,118,Yes,1944
40,Female,Professional,Morning,United Kingdom,81,27,Indoor,77,Yes,2457
27,Male,Advanced,Morning,Lebanon,46,273,Indoor,99,No,2330
47,Female,Intermediate,Afternoon,Spain,54,404,Outdoor,62,Yes,2189
41,Female,Advanced,Evening,Denmark,64,311,Outdoor,105,No,2397
20,Female,Professional,Afternoon,Mexico,54,299,Any,102,Yes,1176
41,Female,Professional,Afternoon,Germany,53,406,Indoor,61,Yes,1606
29,Female,Professional,Morning,Sweden,83,293,Outdoor,77,Yes,1306
36,Male,Advanced,Afternoon,Lebanon,73,360,Any,79,No,1686
37,Female,Beginner,Afternoon,Italy,53,447,Indoor,80,No,1334
43,Female,Advanced,Morning,Germany,62,379,Any,79,No,2354
38,Male,Professional,Evening,Portugal,49,230,Outdoor,106,Yes,1127
48,Male,Professional,Evening,Finland,74,74,Outdoor,54,Yes,2356
37,Female,Intermediate,Evening,Netherlands,43,121,Outdoor,64,Yes,1751
28,Male,Beginner,Afternoon,Spain,74,161,Any,86,No,2442
54,Female,Intermediate,Afternoon,Portugal,66,188,Indoor,99,No,1750
54,Male,Professional,Evening,Saudi Arabia,33,290,Indoor,99,No,1756
22,Male,Intermediate,Afternoon,Italy,44,314,Any,99,No,1101
31,Male,Intermediate,Afternoon,Netherlands,38,455,Any,61,Yes,2433
43,Male,Beginner,Afternoon,Argentina,42,224,Any,30,No,1816
34,Female,Advanced,Evening,Germany,34,485,Indoor,108,No,1926
44,Male,Advanced,Morning,Portugal,49,200,Outdoor,73,Yes,1262
34,Male,Professional,Evening,Netherlands,63,77,Indoor,91,No,1231
35,Female,Beginner,Morning,Germany,59,193,Indoor,118,No,2313
32,Female,Intermediate,Evening,Finland,36,256,Any,48,Yes,2271
50,Female,Beginner,Evening,Germany,32,199,Outdoor,51,Yes,2025
19,Male,Beginner,Evening,France,59,166,Outdoor,89,No,2046
27,Female,Advanced,Morning,Brazil,87,240,Indoor,50,Yes,1885
28,Male,Professional,Morning,Portugal,31,363,Outdoor,81,No,1050
39,Male,Advanced,Afternoon,Denmark,59,323,Outdoor,43,No,1267
39,Female,Professional,Afternoon,Germany,68,303,Any,31,No,2440
47,Female,Advanced,Afternoon,Denmark,85,297,Indoor,36,Yes,1547
27,Male,Professional,Evening,Netherlands,45,453,Outdoor,36,Yes,1766
21,Female,Professional,Morning,United States,47,434,Outdoor,97,No,1673
45,Male,Intermediate,Morning,United Arab Emirates,90,47,Indoor,68,No,1332
36,Male,Intermediate,Evening,Brazil,35,99,Indoor,70,No,1850
41,Female,Professional,Evening,Finland,57,287,Indoor,117,No,1886
49,Male,Advanced,Evening,Saudi Arabia,83,264,Outdoor,59,No,1326
18,Male,Beginner,Evening,Qatar,32,139,Any,91,No,1837
35,Female,Beginner,Afternoon,Netherlands,44,167,Indoor,62,Yes,1732
36,Female,Beginner,Evening,Belgium,70,188,Outdoor,31,Yes,1269
30,Female,Beginner,Evening,Argentina,45,250,Outdoor,32,No,1724
19,Male,Advanced,Morning,Portugal,61,116,Indoor,60,No,2332
55,Male,Advanced,Morning,Brazil,56,30,Any,100,Yes,2071
34,Female,Beginner,Evening,Argentina,70,247,Outdoor,43,Yes,2192
37,Male,Intermediate,Evening,United Kingdom,49,157,Outdoor,45,Yes,1809
26,Male,Professional,Morning,Brazil,75,366,Outdoor,103,Yes,2294
45,Male,Advanced,Morning,Sweden,58,50,Outdoor,115,Yes,1838
45,Male,Intermediate,Morning,Chile,80,490,Any,36,Yes,1674
19,Male,Professional,Afternoon,United Arab Emirates,34,432,Indoor,97,Yes,2474
38,Male,Professional,Evening,United Arab Emirates,85,58,Any,118,Yes,1979
48,Male,Professional,Evening,United Kingdom,60,492,Indoor,54,Yes,1386
31,Male,Advanced,Afternoon,Qatar,39,469,Any,54,No,1025
52,Female,Beginner,Afternoon,Portugal,90,61,Any,55,No,2354
39,Female,Beginner,Evening,Chile,66,120,Indoor,89,No,1428
41,Male,Intermediate,Evening,Argentina,32,217,Indoor,67,Yes,1675
38,Female,Professional,Evening,Belgium,40,147,Outdoor,49,No,2363
35,Male,Professional,Morning,Netherlands,47,447,Any,57,Yes,1425
37,Male,Intermediate,Morning,Lebanon,42,180,Indoor,44,Yes,1980
22,Male,Advanced,Evening,Saudi Arabia,32,416,Any,90,Yes,1679
40,Female,Advanced,Evening,Belgium,47,366,Any,46,No,2128
38,Male,Intermediate,Evening,United Kingdom,47,473,Indoor,113,No,2127
30,Male,Advanced,Evening,Saudi Arabia,65,67,Any,98,No,1032
43,Male,Professional,Evening,United States,71,301,Outdoor,51,Yes,1618
20,Male,Professional,Morning,France,77,175,Outdoor,78,No,1111
39,Female,Professional,Morning,France,55,246,Any,80,Yes,1983
44,Female,Professional,Afternoon,United Arab Emirates,63,99,Indoor,88,No,1476
20,Male,Beginner,Afternoon,Netherlands,65,461,Outdoor,81,No,1419
41,Male,Advanced,Evening,Lebanon,85,311,Any,95,No,1835
44,Male,Professional,Morning,Italy,64,499,Any,102,Yes,1309
27,Male,Advanced,Afternoon,Belgium,39,445,Indoor,36,No,1619
22,Male,Professional,Morning,Lebanon,60,353,Indoor,104,No,1120
44,Female,Beginner,Evening,France,42,71,Indoor,115,No,1029
45,Female,Professional,Afternoon,Lebanon,32,246,Any,57,No,2170
22,Female,Advanced,Afternoon,Chile,47,255,Indoor,30,No,2453
30,Male,Intermediate,Afternoon,Chile,59,118,Outdoor,97,Yes,2053
54,Male,Advanced,Afternoon,Argentina,42,446,Outdoor,43,No,1958
49,Male,Beginner,Morning,Saudi Arabia,46,235,Indoor,34,Yes,1510
24,Male,Beginner,Morning,Sweden,55,156,Indoor,52,Yes,2206
39,Female,Professional,Evening,Italy,74,463,Outdoor,73,No,1901
27,Female,Beginner,Morning,Netherlands,82,375,Outdoor,83,Yes,1195
20,Male,Beginner,Morning,United States,68,112,Indoor,87,Yes,1468
28,Female,Professional,Morning,Denmark,34,489,Outdoor,47,No,1018
27,Female,Intermediate,Evening,United States,56,83,Indoor,69,Yes,2125
25,Female,Advanced,Evening,Finland,76,290,Outdoor,94,No,2006
39,Male,Professional,Evening,United Arab Emirates,40,443,Indoor,109,Yes,2163
47,Male,Beginner,Evening,Finland,84,300,Any,60,No,1837
43,Male,Beginner,Morning,Saudi Arabia,39,477,Any,85,Yes,1958
21,Male,Intermediate,Evening,Chile,80,186,Outdoor,44,Yes,2491
54,Female,Advanced,Afternoon,Mexico,72,371,Outdoor,65,Yes,1826
35,Female,Intermediate,Afternoon,Chile,55,398,Indoor,91,Yes,2291
45,Female,Intermediate,Morning,Spain,82,438,Indoor,60,Yes,2437
21,Female,Beginner,Morning,Belgium,49,130,Any,87,No,1391
